object_jp,object_rank,object_en,descriptor_jp,descriptor_rank,descriptor_en
靴,2100,shoe,不思議な,3000,mysterious
袋,2100,bag,綺麗な,3200,pretty
草,2200,grass,便利な,3500,convenient
糸,2200,thread,黄色い,3500,yellow
爪,2200,nail,緑の,4000,green
岩,2300,rock,金の,4500,golden
脳,2300,brain,銀の,5000,silver
波,2300,wave,,,
煙,2400,smoke,,,
時計,2400,clock,,,
歯,2400,tooth,,,
角,2400,corner,,,
材料,2500,materials,,,
食べ物,2600,food,,,
玉,2600,ball,,,
飯,2700,cooked rice,,,
根,2700,root,,,
葉,2700,leaf,,,
棚,2800,shelf,,,
皮,2900,skin,,,
剣,3100,sword,,,
お菓子,3200,confections,,,
槍,3200,spear,,,
ナイフ,3200,knife,,,
矢,3200,arrow,,,
盾,3200,shield,,,
朝食,3300,breakfast,,,
夕食,3300,evening meal,,,
布団,3300,futon,,,
回収,3300,collection,,,
刀,3300,sword,,,
銃,3300,gun,,,
刃,3300,edge,,,
紅茶,3400,black tea,,,
卵,3400,eggs,,,
枝,3400,branch,,,
砂,3400,sand,,,
衣装,3400,clothing,,,
鎧,3400,armor,,,
皿,3400,plate,,,
ケーキ,3500,cake,,,
針,3500,needle,,,
素材,3500,ingredient,,,
具,3500,tool,,,
ガラス,3500,glass,,,
お酒,3600,alcohol,,,
仮面,3600,mask,,,
杖,3600,cane,,,
金属,3700,metal,,,
帽子,3700,hat,,,
眼鏡,3700,glasses,,,
指輪,3700,,,,
羽,3800,feather,,,
毛,3800,hair,,,
液体,3800,liquid,,,
飲み物,3900,drink,,,
餌,3900,,,,
グラス,3900,glass,,,
牙,3900,tusk,,,
植物,4000,plant,,,
板,4000,board,,,
輪,4000,ring,,,
鎖,4100,chain,,,
弾,4100,ball,,,
財布,4100,purse,,,
食料,4200,food,,,
弁当,4200,bento,,,
お湯,4200,hot water,,,
昼食,4200,lunch,,,
食,4200,food,,,
林,4300,wood,,,
食材,4300,ingredient,,,
塩,4300,salt,,,
弓,4300,bow,,,
スープ,4400,,,,
牛,4400,cattle,,,
爆弾,4400,bomb,,,
胃,4400,stomach,,,
夕飯,4500,evening meal,,,
欠片,4500,fragment,,,
コート,4500,coat,,,
一個,4600,piece,,,
瓶,4600,bottle,,,
油,4700,oil,,,
紐,4700,string,,,
傘,4700,umbrella,,,
収穫,4800,harvest,,,
花火,4900,fireworks,,,
樹,4900,tree,,,
ビール,5000,beer,,,
ジュース,5000,juice,,,
リボン,5000,ribbon,,,
鈴,5000,bell,,,
束,5100,bundle,,,
生地,5100,cloth,,,
砂糖,5200,sugar,,,
毛布,5300,blanket,,,
破片,5400,fragment,,,
松,5400,pine tree,,,
ワイン,5500,wine,,,
縄,5500,rope,,,
飾り,5500,decoration,,,
手袋,5500,glove,,,
埃,5600,dust,,,
粉,5600,flour,,,
鞭,5600,whip,,,
物質,5700,material,,,
球,5700,sphere,,,
設備,5700,equipment,,,
包丁,5700,kitchen knife,,,
刃物,5700,edged tool,,,
果物,5800,fruit,,,
ミルク,5800,milk,,,
家具,5800,furniture,,,
お守り,6100,charm,,,
牛乳,6200,,,,
畳,6200,tatami mat,,,
旗,6200,flag,,,
帯,6200,obi,,,
豆,6300,legume,,,
甲,6300,carapace,,,
幹,6500,,,,
竹,6500,bamboo,,,
米,6700,,,,
果実,6800,fruit,,,
筆,6800,writing brush,,,
ガス,6800,gas,,,
一滴,6800,one drop,,,
デザート,7000,dessert,,,
水分,7400,water,,,
リード,7400,lead,,,
アルコール,7600,alcohol,,,
電源,7700,source of electricity,,,
もち,7800,mochi,,,
小石,7800,pebble,,,
糧,7900,food,,,
マント,8300,mantle,,,
クッキー,8400,cookie,,,
鋼,8400,steel,,,
結晶,8400,crystal,,,
ロープ,8400,rope,,,
チョコ,8500,chocolate,,,
煙草,8500,tobacco,,,
フード,8500,food,,,
アイス,8500,ice,,,
薬草,8500,medicinal herb,,,
斧,8500,axe,,,
短剣,8500,short sword,,,
蜜,8600,nectar,,,
チョコレート,8600,chocolate,,,
革,8600,leather,,,
金貨,8600,gold coin,,,
物資,8600,goods,,,
水晶,8600,,,,
鱗,8700,scale,,,
銃弾,8700,bullet,,,
コンクリート,8700,concrete,,,
紋章,8700,crest,,,
マスク,8700,,,,
リンゴ,8800,apple,,,
サンドイッチ,8800,sandwich,,,
液,8800,liquid,,,
壺,8800,pot,,,
瓦礫,8800,rubble,,,
砲,8800,gun,,,
銃口,8800,gun point,,,
装甲,8800,armoring,,,
桃,8900,peach,,,
クラブ,8900,club,,,
切っ先,8900,point,,,
ラーメン,9000,ramen,,,
羽根,9000,feather,,,
白衣,9000,white clothes,,,
おにぎり,9100,onigiri,,,
サラダ,9100,salad,,,
機体,9100,fuselage,,,
薪,9100,piece,,,
花びら,9100,,,,
部品,9100,parts,,,
パーツ,9200,part,,,
棘,9200,thorn,,,
梅,9300,Japanese apricot,,,
首輪,9300,,,,
ゴム,9400,gum,,,
絹,9400,silk,,,
粒子,9400,particle,,,
大剣,9400,large sword,,,
燃料,9500,fuel,,,
殻,9500,shell,,,
アクセサリー,9500,accessory,,,
防具,9500,guard,,,
白銀,9600,silver,,,
トマト,9600,tomato,,,
クリーム,9700,cream,,,
食糧,9700,food,,,
バター,9800,butter,,,
家畜,9800,domestic animals,,,
小物,9800,accessories,,,
リング,9800,ring,,,
ネクタイ,9800,tie,,,
昼飯,9900,lunch,,,
ハンバーグ,9900,Hamburg steak,,,
鋼鉄,9900,steel,,,
柳,9900,willow,,,
水滴,9900,drop of water,,,
車輪,9900,,,,
腕時計,9900,wristwatch,,,
ネックレス,9900,necklace,,,
爆破,9900,destructive blast,,,
矢先,10000,arrowhead,,,
鎌,10000,sickle,,,
兜,10000,helmet,,,
