rank,word,reading,vid,sid,part_of_speech,meanings
53,ため,ため,1157080,2519463878,adv; n,good; advantage; benefit; welfare; sake; purpose; objective; aim; consequence; result; effect; affecting; regarding; concerning
54,まだ,まだ,1527110,3145968539,adv; adj-na,still; as yet; only; (not) yet; more; (more) still; at least; comparatively; relatively; unfinished; incomplete; not yet done
55,いや,いや,1583250,895883194,int,no; nay; well; er; why; you're welcome; not at all; don't mention it
56,ちょっと,ちょっと,1163940,1359812797,adv; int; exp,"a little; a bit; slightly; just a minute; for a moment; briefly; somewhat; rather; fairly; pretty; quite; (not) easily; (not) readily; hey!; come on; excuse me; thanks, but no; not feasible; not possible"
57,話,はなし,1600900,2788147985,n,talk; speech; chat; conversation; topic; subject; discussions; negotiation; argument; rumor; talk; hearsay; tale; story; fable; circumstances; particulars
58,できる,できる,1340450,450331373,vi; v1,to be able (in a position) to do; to be up to the task; to be ready; to be completed; to be made; to be built; to be good at; to be permitted (to do); to become intimate; to take up (with somebody); to grow; to be raised; to become pregnant
59,そこ,そこ,1006670,3896857205,pn,there (place relatively near listener); there (place just mentioned); that place; then (of some incident just spoken of); that (of point just raised); you
60,なの,なの,2425930,4283573641,exp,that's the way it is; yes; is that so?; is it?
61,ではない,ではない,2823770,628696605,adj-i; exp,is not; am not; are not
62,待つ,まつ,1410590,4237858223,vi; vt; v5; v5t,to wait; to await; to look forward to; to anticipate; to depend on; to need
63,ところ,ところ,1343100,1501191988,adv; n; suf,place; spot; scene; site; address; district; area; locality; one's house; point; aspect; side; facet; passage (in text); part; space; room; thing; matter; whereupon; as a result; about to; on the verge of; was just doing; was in the process of doing; have just done; just finished doing
64,たち,たち,1416220,2519779253,suf,pluralizing suffix (esp. for people and animals; formerly honorific)
65,こんな,こんな,1004880,1984280386,adj-pn,this sort of; this kind of; like this; such
66,持つ,もつ,1315720,4156671150,vt; v5; v5t,"to hold (in one's hand); to take; to carry; to possess; to have; to own; to maintain; to keep; to last; to be durable; to keep; to survive; to take charge of; to be in charge of; to hold (meeting, etc.); to have (opportunity, etc.); to have ""it""; to have that special something; to be blessed with good luck"
67,声,こえ,1380440,1717295435,n,voice; singing (of a bird); chirping (of an insect); hoot; voice; opinion (as expressed in words); view; wish; attitude; will; sound; sense (of something's arrival); feeling; voice; voiced sound
68,もらう,もらう,1535910,1827194840,vt; v5; v5u; aux-v,"to receive; to take; to accept; to get somebody to do something; to have in one's pocket (a fight, match); to contract (a disease); to catch; to be affected"
69,入る,はいる,1465590,3525459948,vi; v5; v5r,to enter; to go into; to break into; to join; to enroll; to contain; to hold; to accommodate; to have (an income of); to get turned on; to start functioning; to start working; to get; to obtain; to receive; to score
70,何,なん,2846738,1737572525,pn; pref,what; how many; many; a lot of; several; a few; some
71,手,て,1327190,1956045185,n; ctr; suf,"hand; arm; forepaw; foreleg; handle; hand; worker; help; trouble; care; effort; means; way; trick; move; technique; workmanship; hand; handwriting; kind; type; sort; one's hands; one's possession; ability to cope; hand (of cards); direction; move (in go, shogi, etc.)"
72,見える,みえる,1259140,762214806,vi; v1,to be seen; to be in sight; to look; to seem; to appear; to come
73,目,め,1604890,1831216715,n; suf,"eye; eyeball; eyesight; sight; vision; look; stare; gaze; glance; notice; attention; observation; eyes (of the world, public, etc.); an experience; viewpoint; discrimination; discernment; judgement; eye (e.g. for quality); appearance; chance to succeed; possibility; spacing (between crossed strands of a net, mesh, etc.); opening; stitch; texture; weave; grain (of wood); eye (of a storm, needle, etc.); intersection (on a go board); square (on a chess board); dot (on a dice); pip; rolled number; graduation; division (of a scale); tooth (of a saw, comb, etc.); ordinal number suffix; somewhat; -ish; point (e.g. of change)"
74,方,ほう,1516930,1955715020,n,"direction; way; side; area (in a particular direction); side (of an argument, etc.); one's part; type; category; field (of study, etc.); indicates one side of a comparison; way; method; manner; means; length (of each side of a square)"
75,男,おとこ,1419990,1829125235,n,man; male; fellow; guy; chap; bloke; male lover; boyfriend; man; manliness; manly honor; manly honour; manly reputation
76,あなた,あなた,1223615,2892243882,pn,you; dear; honey
77,本当,ほんとう,1523060,3724462616,adj-na; adj-no; n,truth; reality; actuality; fact; proper; right; correct; official; genuine; authentic; real; natural; veritable
78,今日,きょう,1579110,1518746816,adv; n,today; this day; these days; recently; nowadays
79,ほど,ほど,1436510,3936344121,adv; n; prt,extent; degree; measure; limit; bounds; (span of) time; (a) distance; the state of; the status of; the condition of; about; around; approximately; or so; as much as ...; to the extent of ...; like ...; the more ... the more ...
80,言葉,ことば,1264540,2755397191,n,language; dialect; word; phrase; expression; term; speech; (manner of) speaking; (use of) language; words; remark; statement; comment; learning to speak; language acquisition
81,らしい,らしい,1013240,2274796872,aux-adj; adj-i; suf,seeming ...; appearing ...; -ish; like a ...; typical of ...; appropriate for ...; becoming of ...; worthy of the name ...
82,として,,,,,
83,など,など,1582300,4283574076,prt,et cetera; etc.; and the like; and so forth; or something; the likes of; for example; for instance; for one
84,ただ,ただ,1538900,2519778818,adj-no; n; adv; conj,ordinary; common; usual; free of charge; unaffected; as is; safe; only; merely; just; simply; but; however; nevertheless
85,しかし,しかし,1505990,355011464,conj,however; but
86,違う,ちがう,1158880,808424796,vi; v5; v5u; exp,"to differ (from); to vary; to not be in the usual condition; to not match the correct (answer, etc.); to be different from promised; isn't it?; wasn't it?"
87,使う,つかう,1305990,44399515,vt; v5; v5u,"to use (a thing, method, etc.); to make use of; to put to use; to use (a person, animal, puppet, etc.); to employ; to handle; to manage; to manipulate; to use (time, money, etc.); to spend; to consume; to use (language); to speak"
88,少し,すこし,1348870,3329188668,adv; n,small quantity; little; few; something; little while; short distance
89,時,じ,2020680,1953013670,suf; adj-no,hour; o'clock; (specified) time; when ...; during ...
90,家,いえ,1191730,1719503060,n,house; residence; dwelling; family; household; lineage; family name
91,彼,かれ,1483070,1722230945,pn; n,he; him; boyfriend
92,あれ,あれ,1000580,2007967152,pn; n,that; that thing; that person; then; that time; that place (over there); down there (i.e. one's genitals); period; menses
93,よい,よい,1605820,2194927644,adj-i,"good; excellent; fine; nice; pleasant; agreeable; sufficient; enough; ready; prepared; profitable (deal, business offer, etc.); beneficial; OK; all right; fine; no problem"
94,人間,にんげん,1366770,3952592753,n,human being; human; person; man; mankind; humankind; character (of a person)
95,同じ,おなじ,1451750,4264949164,adj-pn; n; adv,same; identical; equal; uniform; equivalent; similar; common (origin); changeless; alike; anyway; anyhow; in either case
96,上,うえ,1352130,1737111425,adv; adj-no; n; suf,"above; up; over; elder (e.g. daughter); top; summit; head (e.g. of a staircase); surface; before; previous; superiority; one's superior; one's elder; on top of that; besides; what's more; not only ... but; upon (further inspection, etc.); based on (and occurring after); matters concerning ...; as concerns ...; since (i.e. ""for that reason""); honorable; venerable; place of one's superior (e.g. the throne); emperor; sovereign; shogun; daimyo; noblewoman (esp. the wife of a nobleman)"
97,よく,よく,1605870,2194932429,adv,nicely; properly; well; skillfully; skilfully; frequently; often; I'm glad that you ...; thank you for ...; (you have) quite the nerve to; I don't know how you can ...
98,よう,よう,1605840,2194928514,n; suf,appearing ...; looking ...; way to ...; method of ...ing; form; style; design; like; similar to; thing (thought or spoken)
99,どこ,どこ,1577140,157202305,pn,"where; what place; how much (long, far); what extent"
100,出す,だす,1338180,2094651512,vt; v5; v5s; suf,"to take out; to get out; to put out; to reveal; to show; to submit (e.g. thesis); to turn in; to publish; to make public; to send (e.g. letter); to produce (a sound); to start (fire); to serve (food); ... out (e.g. to jump out, to carry out); to begin ...; to start to ...; to burst into ..."
101,悪い,わるい,1151260,1843493539,adj-i; int,bad; poor; undesirable; poor (quality); inferior; insufficient; evil; sinful; ugly; not beautiful; at fault; to blame; in the wrong; bad (at doing something); unprofitable; unbeneficial; sorry; (my) bad; unforgivable
102,時間,じかん,1315920,2373481574,n,time; hour; period; class; lesson
103,部屋,へや,1499320,3622630346,n,room; chamber; apartment; flat; pad; stable
104,おく,おく,1421850,3941296918,vt; v5; v5k; aux-v,"to put; to place; to leave (behind); to establish (an organization, a facility, a position, etc.); to set up; to appoint (someone to a certain position); to hire; to employ; to place (one's trust, one's faith, etc.); to bear (in mind, etc.); to put down a tool (e.g. a pen) hence stopping what one is doing with that tool; to take in (boarders, etc.); to provide lodging in one's house; to separate spatially or temporally; to do something in advance; to leave something in a certain state; to keep something in a certain state"
105,わけ,わけ,1538330,291803424,n,"conclusion from reasoning, judgement or calculation based on something read or heard; reason; cause; meaning; circumstances; situation"
106,かもしれない,かもしれない,1002970,3069914929,exp,may; might; perhaps; may be; possibly
107,作る,つくる,1597890,3991669848,vt; v5; v5r,"to make; to produce; to manufacture; to build; to construct; to prepare (food); to brew (alcohol); to raise; to grow; to cultivate; to train; to till; to draw up (a document); to make out; to prepare; to write; to create (an artistic work, etc.); to compose; to coin (a phrase); to organize; to organise; to establish; to found; to have (a child); to make up (one's face, etc.); to fabricate (an excuse, etc.); to give a (false) appearance; to feign (a smile, etc.); to put on a show of emotion; to form (a line, etc.); to set (a record); to commit (a sin, etc.)"
108,まま,まま,1585410,3145960709,adv; n,as it is; as one likes; because; as; condition; state
109,早い,はやい,1404975,2342358459,adj-i,"fast; quick; hasty; brisk; early (in the day, etc.); premature; (too) soon; not yet; (too) early; easy; simple; quick"
110,感じる,かんじる,1212260,933168246,v1,to feel; to sense; to experience
111,呼ぶ,よぶ,1266440,241123685,vt; v5; v5b,"to call out (to); to call; to invoke; to summon (a doctor, etc.); to invite; to designate; to name; to brand; to garner (support, etc.); to gather; to take as one's wife"
112,話す,はなす,1562350,4280520068,vt; v5; v5s,to talk; to speak; to converse; to chat; to tell; to explain; to narrate; to mention; to describe; to discuss; to speak (a language)
113,何か,なにか,1188270,2294668430,adv,"something; some; any; somehow; for some reason; (is there) something (you want, etc.)"
114,のように,のように,1010030,726196327,adv; exp,like; similar to; as with; in the same way
115,死ぬ,しぬ,1310730,1521963167,vi; va; v5; v5n,to die; to pass away; to lose spirit; to lose vigor; to look dead; to cease; to stop
116,頭,とう,1450690,2643960275,ctr,"counter for large animals (e.g. head of cattle); counter for insects in a collection; counter for helmets, masks, etc."
117,姿,すがた,1307710,1718096270,n; suf,figure; form; shape; appearance; dress; guise; state; condition; picture; image; form (of a waka); dressed in ...; wearing ...
118,強い,つよい,1236070,1162053595,adj-i,strong; potent; competent; domineering; tough; strong; brawny; powerful; healthy; rugged; good (at); skilled; knowledgeable; being able to handle; know how to deal (with); durable (against); resistant (to); resilient; firm; rigid; solid; intense; strong; fierce; high; dependable; trustworthy
119,こう,こう,1004310,1661282252,adv; int,in this way; thus; such; uh...
120,いつも,いつも,1188890,4042077842,adv; adj-no; n,always; all the time; at all times; never; usual; regular; habitual; customary
121,会う,あう,1198180,2261593789,vi; v5; v5u,to meet; to encounter; to see; to have an accident; to have a bad experience
122,一緒に,いっしょに,1163420,3338693906,adv,together (with); at the same time; in a lump
123,好き,すき,1277450,4030106869,adj-na; n,liked; well-liked; favourite; favorite; in love (with); loved; romantically interested (in); faddism; eccentricity; the way one likes; (as) it suits one; refined taste; elegant pursuits
124,相手,あいて,1401000,92033209,n,"companion; partner; company; other party; addressee; opponent (sports, etc.)"
125,帰る,かえる,1221270,1589949286,vi; v5; v5r,to return; to come home; to go home; to go back; to leave; to get home; to get to home plate
126,音,おと,1576900,2654491190,n; suf,sound; noise; report; note; fame; Chinese-derived character reading
127,みんな,みんな,1202150,4220409974,adv; n; pn,everyone; everybody; all; everything; all
128,うち,うち,1191740,1198595136,n; adj-no,house; one's house; one's home; one's family; one's household
129,ずっと,ずっと,1006380,76748642,adv,"continuously in some state (for a long time, distance); throughout; all along; the whole time; all the way; much (better, etc.); by far; far and away; far away; long ago; direct; straight"
130,でした,でした,9000009,2886320972,exp,was
131,食べる,たべる,1358280,1232985445,vt; v1,to eat; to live on (e.g. a salary); to live off; to subsist on
132,場所,ばしょ,1355850,332236351,n,place; location; spot; position; room; space; basho; wrestling tournament
133,あと,あと,1269320,2008529607,adj-no; n; adv,behind; rear; after; later; remainder; the rest; more (e.g. five more minutes); left; also; in addition; descendant; successor; heir; after one's death; past; previous
134,どうして,どうして,1466940,4151017543,adv; int,how; in what way; by what means; why; for what reason; for what purpose; what for; cannot possibly; no way
135,もっと,もっと,1012620,3265025033,adv,(some) more; even more; longer; further
136,あげる,あげる,1352320,958920641,vt; v1; vi; aux-v,"to raise; to elevate; to do up (one's hair); to fly (a kite, etc.); to launch (fireworks, etc.); to surface (a submarine, etc.); to land (a boat); to deep-fry; to show someone (into a room); to give; to send someone (away); to enrol (one's child in school); to enroll; to increase (price, quality, status, etc.); to develop (talent, skill); to improve; to make (a loud sound); to raise (one's voice); to earn (something desirable); to praise; to give (an example, etc.); to cite; to summon up (all of one's energy, etc.); to arrest; to nominate; to summon (for geishas, etc.); to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.); to bear (a child); to conduct (a ceremony, esp. a wedding); (of the tide) to come in; to vomit; to do for (the sake of someone else); to complete ...; to humbly do ..."
137,くらい,くらい,1154340,1232585138,prt; suf,approximately; about; around; or so; to (about) the extent that; (almost) enough that; so ... that ...; at least; as ... as ...; like
138,世界,せかい,1373860,4237708223,n; adj-no,the world; society; the universe; sphere; circle; world; world-renowned; world-famous; realm governed by one Buddha; space
139,戻る,もどる,1535880,216748198,vi; v5; v5r,to turn back (e.g. half-way); to return; to go back; to recover (e.g. something lost); to be returned; to rebound; to spring back
140,力,りょく,1554840,1712686175,suf,strength; power; proficiency; ability
141,仕事,しごと,1304970,2684750118,n; vs,work; job; labor; labour; business; task; assignment; occupation; employment; work
142,必要,ひつよう,1487660,3956185817,adj-na; n,necessary; needed; essential; indispensable; necessity; need; requirement
143,続ける,つづける,1405800,984607581,aux-v; vt; v1,to continue; to keep up; to keep on
144,つもり,つもり,1382980,143219513,n,intention; plan; purpose; expectation; belief; assumption; thought; conviction; estimate; estimation; calculation
145,どんな,どんな,1009330,3357984352,adj-pn,what kind of; what sort of; what; no matter what (kind of); whatever; any; all
146,誰,だれ,1416830,2787944405,pn,who
147,による,による,1009660,1852170137,exp; v5; v5r,by means of; due to; because of; according to
148,次,つぎ,1316380,1963055210,adj-no; n,next; following; subsequent; stage; station
149,かける,かける,1207610,4012105877,vt; v1; suf,"to hang up (e.g. a coat, a picture on the wall); to let hang; to suspend (from); to hoist (e.g. sail); to raise (e.g. flag); to put on (e.g. a blanket); to put on top of; to cover; to lay; to spread; to put on (glasses, etc.); to wear (a necklace, etc.); to make (a call); to spend (time, money); to expend; to use; to pour (liquid) onto; to sprinkle (powder or spices) onto; to splash; to throw (e.g. water) onto; to turn on (engine, radio, etc.); to set (dial, alarm clock, etc.); to put on (DVD, song, etc.); to use (device, implement, etc.); to cause (somebody inconvenience, trouble, etc.); to burden (someone); to impose; to multiply (arithmetic operation); to secure (e.g. lock); to take a seat; to sit; to rest (something on something else); to support (something on something else); to bind; to wager; to bet; to risk; to stake; to gamble; to put an effect (spell, anaesthetic, etc.) on; to hold (a play, festival, etc.); to hold an emotion for (pity, hope, etc.); to argue (in court); to deliberate (in a meeting); to present (e.g. idea to a conference, etc.); to increase further; to catch (in a trap, etc.); to set atop; to erect (a makeshift building); to apply (insurance); to pun (on a word); to use (a word) as a pivot word; to play on words; to be partway doing ...; to begin (but not complete) ...; to be about to ...; to address (someone); to direct (something, to someone); to do (something, to someone)"
150,見せる,みせる,1259210,3683820677,vt; v1,to show; to display
151,動く,うごく,1451210,2393840321,vi; v5; v5k,to move; to stir; to shift; to shake; to swing; to operate; to run; to go; to work; to make a move; to take action; to act; to go into action; to be touched; to be influenced; to change; to vary; to fluctuate; to waver; to be transferred
152,となる,となる,2100900,3209364575,exp; v5; v5r,to become; to amount to
153,はず,はず,1476430,3189548692,aux; n,should (be); bound (to be); expected (to be); must (be); nock (of a bow); nock (of an arrow); nock-shaped grip (between thumb and forefinger); wooden frame on the tip of the mast of a Japanese ship that prevents the hawser from falling out
154,子,こ,1307770,1719201605,n; suf,"child; kid; teenager; youngster; young (non- adult) person; (one's) child; offspring; young (animal); young woman; offshoot; interest; new shares; player who is not a dealer (in cards, mahjong, etc.); bird egg; -er (often of young women); young geisha"
155,歩く,あるく,1514320,1913041488,vi; v5; v5k,to walk
156,こちら,こちら,1004500,1811120599,pn,this way; this direction; here; this (one); I; me; we; us; this person
157,きっと,きっと,1003430,394053827,adv,surely; undoubtedly; almost certainly; most likely (e.g. 90 percent); sternly; severely; having no slack; rigid; stiff; tight; suddenly; abruptly; instantly
158,意味,いみ,1156800,1514555587,n; vs,meaning; significance; sense
159,終わる,おわる,1589600,644188301,aux-v; vi; v5; v5r,to end; to come to an end; to close; to finish
160,変わる,かわる,1510790,1860281155,vi; v5; v5r,to change; to be transformed; to be altered; to vary; to move to; to be different; to be uncommon; to be unusual
161,すぐに,すぐに,1430620,1996973681,adv,immediately; right away; at once; instantly
162,始める,はじめる,1307550,1377034300,vt; v1; aux-v,"to start; to begin; to commence; to initiate; to originate; to start up (a business, society, etc.); to open (e.g. a store); to establish; to start ...; to begin to ..."
163,気持ち,きもち,1591430,3454361280,n; adv,feeling; sensation; mood; state of mind; preparedness; readiness; attitude; thought; sentiment; consideration; solicitude; gratitude; slightly; a bit; a little
164,大きい,おおきい,1588880,252433372,adj-i,big; large; great; loud; extensive; spacious; important; decisive; valuable; older; grown up
